@RELATION Leaf_Classification

@ATTRIBUTE Contrast numeric
@ATTRIBUTE Homogeneity numeric
@ATTRIBUTE ASM numeric
@ATTRIBUTE Dissimilarity numeric
@ATTRIBUTE Energy numeric
@ATTRIBUTE class {Aguacate,Guaycacan,Coralillo}

@DATA
1697054,4304280.8618,160284054,1466938,12660.3338819,Aguacate
1121414,4518610.14751,3700737392,1015066,60833.6863259,Aguacate
1686693,4589482.31723,4202799448,958641,64829.0015965,Aguacate
947367,4760816.16395,379940520,575549,19492.0630001,Aguacate
645156,4812021.8552,180929256,446064,13450.9946101,Aguacate
582926,4814779.75294,2620189390,431688,51187.7855548,Aguacate
1726294,4579068.56466,2175008690,981276,46636.9884319,Aguacate
996579,4749252.85653,151709586,601849,12317.0445319,Aguacate
673135,4806086.89638,3250040198,460463,57009.1238136,Aguacate
606702,4809295.37647,1746159730,444776,41787.0761121,Aguacate
1800261,4559751.58842,3782307512,1023393,61500.4675755,Aguacate
1147399,4711045.63128,2169157962,686913,46574.2199291,Aguacate
830069,4764598.97149,1179096546,554445,34337.9752752,Aguacate
799328,4750032.58824,3701972164,575266,60843.8342316,Aguacate
1925750,4527219.75008,2400173756,1094528,48991.5682133,Aguacate
1704588,4574773.42941,3679093606,990268,60655.532361,Aguacate
86165254,1909910.10235,1382762700,12216896,37185.5173421,Aguacate
1782703,4409869.74844,183633412,1297987,13551.1406162,Aguacate
2136223,4473752.82834,2872655474,1212201,53597.1591971,Aguacate
5946700,3923992.97077,3891417516,2566084,62381.2272723,Aguacate
959872,4652379.89683,2551957860,764774,50516.9066749,Aguacate
739176,4726250.82353,370321052,605296,19243.7276015,Aguacate
2496026,4386534.80072,4071393020,1406020,63807.4683717,Aguacate
166647784,1354175.09574,657414392,18480040,25640.0934476,Aguacate
897177,4676441.29548,3154139944,714357,56161.730244,Aguacate
762879,4719946.28824,3939370904,619751,62764.4079395,Aguacate
3132650,4246140.60471,1267204450,1723296,35597.8152419,Aguacate
31741418,2385803.77868,972557888,7902794,31185.8603858,Aguacate
1757032,4356079.54772,2827951012,1388030,53178.4826034,Aguacate
1882710,4321311.20513,518054208,1468362,22760.8042037,Aguacate
4343832,4022530.37914,732355984,2246444,27062.0764909,Aguacate
368200837,986658.524594,3230978912,29547793,56841.7004672,Aguacate
1591445,4372856.63528,3800352380,1334983,61646.9981427,Aguacate
1141637,4543890.60588,3979232340,976255,63081.1567744,Aguacate
2078988,4557749.96802,1578818954,1060586,39734.3548331,Aguacate
1137432,4736165.03337,3360454422,646822,57969.4266144,Aguacate
760690,4787882.62353,2655801518,505902,51534.4692221,Aguacate
680462,4791170.67059,1472910830,487324,38378.5204248,Aguacate
2133881,4547102.74738,2312196474,1085061,48085.3041375,Aguacate
1207466,4723605.73546,350626802,677498,18725.0314285,Aguacate
798199,4781904.80588,1489878956,521993,38598.950193,Aguacate
712049,4785203.9,717204678,502527,26780.6773253,Aguacate
2240352,4526285.59606,339753092,1132846,18432.3924654,Aguacate
1419763,4683496.07311,4150769106,773227,64426.4627773,Aguacate
1011676,4733943.48416,3445032314,635544,58694.3976373,Aguacate
959831,4716079.98235,2940583030,658735,54227.1429268,Aguacate
2422900,4492042.33343,1937901152,1212338,44021.5986988,Aguacate
2246248,4534974.5163,2819195504,1127268,53096.096881,Aguacate
127071017,2005174.31202,2482172606,13034985,49821.4071058,Aguacate
2303461,4328725.06706,3199756032,1518143,56566.386061,Aguacate
2730042,4435878.31571,1714083004,1343710,41401.4855289,Aguacate
9286582,3859438.95378,2822256172,2965126,53124.9110305,Aguacate
1153167,4599467.55339,1565922884,885385,39571.7435047,Aguacate
859460,4688928.8,1206026924,687562,34727.8983528,Aguacate
3264522,4344257.93883,1746060298,1561068,41785.8863493,Aguacate
229707621,1425793.04944,2383736096,19526991,48823.5199059,Aguacate
1035062,4633919.21176,2688194124,808354,51847.7976774,Aguacate
880520,4684004.63529,2030077518,699278,45056.3815458,Aguacate
4238403,4194949.05054,1213484274,1923637,34835.1011768,Aguacate
47158050,2368891.81733,1545082168,8759390,39307.533222,Aguacate
1948384,4299352.08506,1520909048,1516724,38998.8339313,Aguacate
2243678,4251065.00528,3909634376,1645610,62527.0691461,Aguacate
6139589,3960117.52184,2456078118,2524591,49558.8349137,Aguacate
469056525,1101423.48087,1648098042,30434295,40596.7737881,Aguacate
1762032,4317437.42986,932784716,1456764,30541.5244544,Aguacate
1329187,4489248.80588,3856946444,1098631,62104.3190447,Aguacate
2145881,4544222.35329,2548228914,1095353,50479.9852813,Aguacate
1189699,4711339.55696,3111902712,697449,55784.4307312,Aguacate
804602,4756146.48235,3268772892,566294,57173.1833292,Aguacate
722725,4758438.7,2239778348,548923,47326.2965802,Aguacate
2195084,4534168.50063,3130387230,1118432,55949.8635387,Aguacate
1246192,4699179.62138,966577574,725764,31089.8307168,Aguacate
833310,4750032.88235,1298351340,581216,36032.6427008,Aguacate
745066,4753246.6,893096934,561300,29884.7274373,Aguacate
2288843,4514587.58417,528205160,1163249,22982.7143741,Aguacate
1416812,4660563.5574,486220626,814216,22050.4110166,Aguacate
989131,4708002.89819,2112527824,676299,45962.2434613,Aguacate
932467,4693248.52353,484851574,692479,22019.3454489,Aguacate
2447062,4482284.38709,564192610,1237686,23752.739,Aguacate
2069363,4521019.52513,1973419662,1136153,44423.1883367,Aguacate
107349373,2036656.12854,2491066770,12879785,49910.5877545,Aguacate
2019871,4336705.14268,2747201164,1462895,52413.7497609,Aguacate
2711808,4429579.02741,2691850636,1360012,51883.0476746,Aguacate
7403077,3876446.83256,1277932024,2822697,35748.1751143,Aguacate
1105207,4598179.79412,268200476,879663,16376.8274095,Aguacate
876271,4673553.7,2595165882,715989,50942.7706549,Aguacate
3161626,4344482.36223,3156156936,1559722,56179.6843708,Aguacate
194047850,1466013.629,4156469292,18806650,64470.6855245,Aguacate
1032522,4628426.71765,1083150574,817182,32911.2529995,Aguacate
895532,4668035.45882,1302584358,728396,36091.3335581,Aguacate
3960906,4208307.63027,1974683370,1886326,44437.409578,Aguacate
36610921,2432739.98179,2221500676,8159159,47132.7983044,Aguacate
1844801,4318109.62214,2662508208,1468729,51599.4981371,Aguacate
2087672,4265684.00232,2842959838,1596164,53319.4133314,Aguacate
5484021,3992600.28947,3729759984,2426507,61071.7609374,Aguacate
384349355,1133580.49484,3110478220,28604027,55771.661442,Aguacate
1684870,4340050.30506,4113049408,1406090,64133.0601796,Aguacate
1286370,4495292.88597,737312766,1081416,27153.5037518,Aguacate
2015181,4555561.68818,2835931344,1059003,53253.4632113,Aguacate
1128618,4730174.80156,148416494,656092,12182.6308325,Aguacate
763576,4776214.32579,4006012460,525744,63293.0680249,Aguacate
686885,4779777.99412,3564606798,507367,59704.3281346,Aguacate
2058669,4545086.35881,3739794054,1082079,61153.8555939,Aguacate
1182460,4718158.79106,1674933476,683884,40925.9511313,Aguacate
792476,4770253.96199,1646802692,540420,40580.8167981,Aguacate
710438,4774504.64706,1433323798,520080,37859.2630409,Aguacate
2141372,4524946.35268,2048564886,1126424,45261.0747332,Aguacate
1343482,4679384.27437,705223110,771284,26556.0371667,Aguacate
948693,4728806.90633,1764363344,634451,42004.3253011,Aguacate
901189,4714230.06471,1882356492,652257,43386.1324849,Aguacate
2282012,4491147.57633,3251278574,1201150,57019.9839881,Aguacate
1941838,4539467.18493,928794716,1085614,30476.1335474,Aguacate
98040678,1930429.90065,3654712680,12840294,60454.2197038,Aguacate
1909574,4354976.93921,299643474,1414500,17310.212997,Aguacate
2516184,4436070.88814,3012874920,1323758,54889.6613216,Aguacate
6599263,3874846.38332,3787950190,2732027,61546.3255605,Aguacate
1067513,4614037.23575,3610015244,846769,60083.4024003,Aguacate
843884,4690087.36471,3275278920,683024,57230.0525948,Aguacate
2914308,4347442.57135,3655741282,1523698,60462.7263858,Aguacate
179515586,1375055.89888,548445640,18986006,23418.9162858,Aguacate
1001941,4641586.34344,1559431428,789913,39489.6369697,Aguacate
866054,4684507.82353,3266804052,696010,57155.9625236,Aguacate
3619174,4204770.13696,2275933136,1852294,47706.7409912,Aguacate
33367905,2356018.85572,2448715368,8177123,49484.4962387,Aguacate
1808830,4321172.04826,188216932,1457434,13719.2176162,Aguacate
1997359,4276478.60552,2916431602,1563429,54003.996167,Aguacate
4967980,3976586.81132,3694734712,2400126,60784.3294937,Aguacate
379306346,1039880.78763,488404296,29789716,22099.8709498,Aguacate
1658641,4339507.43303,2726388044,1402847,52214.8259022,Aguacate
1250590,4505303.8,1881981040,1058772,43381.8054027,Aguacate
2955808,4495101.65738,2757161968,1271208,52508.6846912,Aguacate
1574651,4675956.2568,2568985618,812671,50685.1617143,Aguacate
1032066,4722111.14118,3487825110,660182,59057.8115917,Aguacate
915734,4724841.51765,4059348278,637086,63713.0149812,Aguacate
3029214,4483860.6058,3408955816,1298722,58386.2639325,Aguacate
1659476,4662146.44143,1737003970,847064,41677.3795961,Aguacate
1076767,4714771.65294,824614092,679575,28716.0946509,Aguacate
952119,4718398.00588,1883506414,653887,43399.3826454,Aguacate
3170362,4462465.59711,761854886,1351454,27601.7188957,Aguacate
1925911,4617860.07362,2511450784,956679,50114.377019,Aguacate
1331174,4661461.67692,1203324138,807944,34688.9627692,Aguacate
1249530,4641163.96833,2835815142,831216,53252.3721725,Aguacate
3415324,4425854.21771,1885757540,1442178,43425.309901,Aguacate
2994761,4458444.53272,2838925446,1359951,53281.5676008,Aguacate
160211738,2035155.85836,639670094,14194976,25291.700101,Aguacate
3218697,4218303.03854,2867648544,1826159,53550.4299142,Aguacate
3835622,4365648.11945,469797020,1592532,21674.8014985,Aguacate
12643290,3752645.0841,486070076,3439256,22046.9969837,Aguacate
1568444,4517683.55607,5856402,1088272,2420.00041322,Aguacate
1139206,4611815.8543,1751335842,862632,41848.9646467,Aguacate
4582013,4268130.5145,2354252700,1839891,48520.6419991,Aguacate
292752673,1448284.98239,1523160994,21088105,39027.6952176,Aguacate
1397265,4557386.67127,1628524910,995201,40354.9861851,Aguacate
1156338,4607723.44344,2879147504,872332,53657.6882096,Aguacate
5972697,4110709.43449,3525567086,2250153,59376.4859688,Aguacate
62859280,2299782.32667,4035761670,9641036,63527.6449272,Aguacate
2795660,4198182.12296,3341679906,1804834,57807.2651662,Aguacate
3080796,4127326.84364,254290916,1981172,15946.5016853,Aguacate
8765238,3864651.67145,2207487192,2933656,46983.9035415,Aguacate
560143987,1197255.72359,2034388326,31539371,45104.1941065,Aguacate
2424080,4218833.49037,2635530240,1721828,51337.4155953,Aguacate
1737954,4390658.56899,1979499608,1330624,44491.5678303,Aguacate
2687713,4488800.3549,960470108,1255073,30991.4521764,Aguacate
1426719,4686422.19568,155596424,774893,12473.8295643,Aguacate
941766,4736805.0,465432936,621258,21573.8947805,Aguacate
838116,4738469.85882,2544007636,601436,50438.1565484,Aguacate
2760679,4476490.2782,22801226,1284373,4775.06293152,Aguacate
1512554,4671744.92763,245233446,810956,15659.9312259,Aguacate
986477,4729597.73529,184197834,640465,13571.9502652,Aguacate
874116,4732007.50588,2345307878,618204,48428.3788496,Aguacate
2900765,4453580.90094,2900390434,1339631,53855.273038,Aguacate
1781101,4624353.43163,3973299120,925965,63034.1107655,Aguacate
1240928,4674264.6914,1260014158,772458,35496.6781263,Aguacate
1170188,4651483.3267,2431237362,801300,49307.5791537,Aguacate
3142541,4414982.55813,3283845656,1433571,57304.8484511,Aguacate
2844601,4457034.98996,1947554996,1341417,44131.1114295,Aguacate
167232415,2071763.05245,2232334264,14313529,47247.5847425,Aguacate
3017330,4217381.95903,2051370434,1808314,45292.0570741,Aguacate
3561237,4352223.48214,2628175946,1589179,51265.73852,Aguacate
12558846,3736767.17159,2876515812,3490524,53633.159631,Aguacate
1431947,4527370.84653,2150251528,1051381,46370.8046943,Aguacate
1050414,4623317.4,546496804,828740,23377.2710982,Aguacate
4307438,4250297.63753,3749328846,1847568,61231.7633749,Aguacate
306055206,1472261.73416,2766281462,21486858,52595.450963,Aguacate
1276524,4566716.32398,4224853414,960584,64998.8724056,Aguacate
1073216,4617482.0,3962167798,842266,62945.7528194,Aguacate
5710050,4087812.7493,2600658258,2276136,50996.6494782,Aguacate
66415166,2293210.26448,2967578868,9986192,54475.4886899,Aguacate
2584254,4199387.2511,2597759644,1780668,50968.2219035,Aguacate
2928483,4121551.87156,1799560576,1972291,42421.2278936,Aguacate
8538120,3838553.45348,473462556,2986108,21759.1947461,Aguacate
601361417,1224946.25175,1653889706,32158751,40668.04281,Aguacate
2285954,4217405.78924,1399659882,1707796,37412.0285737,Aguacate
1639510,4393802.41176,450705320,1309382,21229.8214783,Aguacate
2067564,4610137.24231,3174039138,956596,56338.6114312,Aguacate
1072397,4771410.76992,1108851746,574573,33299.4256107,Aguacate
689199,4814127.65294,2103871656,449747,45867.9807273,Aguacate
615878,4814888.81176,1293007406,437030,35958.412173,Aguacate
2111315,4600542.75551,3310640212,978053,57538.163092,Aguacate
